9.1509,9.1509,9.1509,9.1509
7.5429,7.5429,7.5429,7.5429
11.045,11.045,11.045,11.045
8.7638,8.7638,8.7638,8.7638
11.916,11.916,11.916,11.916
10.546,10.546,10.546,10.546
9.0635,9.0635,9.0635,9.0635
8.2076,8.2076,8.2076,8.2076
11.107,11.107,11.107,11.107
11.125,11.125,11.125,11.125
10.563,10.563,10.563,10.563
8.765,8.765,8.765,8.765
9.1727,9.1727,9.1727,9.1727
10.631,10.631,10.631,10.631
11.4,11.4,11.4,11.4
10.374,10.374,10.374,10.374
10.267,10.267,10.267,10.267
10.448,10.448,10.448,10.448
11.612,11.612,11.612,11.612
10.301,10.301,10.301,10.301
9.9497,9.9497,9.9497,9.9497
9.532,9.532,9.532,9.532
10.481,10.481,10.481,10.481
10.069,10.069,10.069,10.069
9.453,9.453,9.453,9.453
9.5975,9.5975,9.5975,9.5975
8.9343,8.9343,8.9343,8.9343
6.9299,6.9299,6.9299,6.9299
9.6875,9.6875,9.6875,9.6875
9.8235,9.8235,9.8235,9.8235
8.7826,8.7826,8.7826,8.7826
10.3,10.3,10.3,10.3
9.2767,9.2767,9.2767,9.2767
9.5136,9.5136,9.5136,9.5136
10.587,10.587,10.587,10.587
9.3869,9.3869,9.3869,9.3869
12.021,12.021,12.021,12.021
8.3882,8.3882,8.3882,8.3882
10.32,10.32,10.32,10.32
9.6245,9.6245,9.6245,9.6245
11.842,11.842,11.842,11.842
10.416,10.416,10.416,10.416
9.8854,9.8854,9.8854,9.8854
10.359,10.359,10.359,10.359
10.413,10.413,10.413,10.413
9.7831,9.7831,9.7831,9.7831
11.314,11.314,11.314,11.314
8.8144,8.8144,8.8144,8.8144
10.388,10.388,10.388,10.388
9.6799,9.6799,9.6799,9.6799
8.1399,8.1399,8.1399,8.1399
8.8784,8.8784,8.8784,8.8784
10.579,10.579,10.579,10.579
11.105,11.105,11.105,11.105
10.015,10.015,10.015,10.015
9.7348,9.7348,9.7348,9.7348
